Tst3.txt File Created
IMU Output: Scaled
Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
363863  00216.06, 00047.36, 00998.29,-00029.29,-00009.31, 00003.61, 00000.00, 00000.00, 00000.00, 00033.64,99520.63,14.43,0.98
364181  00175.54,-00151.86, 00884.28,-00100.10, 00011.42, 00011.44, 00000.00, 00000.00, 00000.00, 00033.78,99505.45,14.43,0.98
364495  00177.98,-00485.11, 00861.08,-00018.47,-00002.54,-00004.29, 00000.00, 00000.00, 00000.00, 00033.64,99478.69,14.43,0.98
364809  00226.56,-00668.46, 00796.14,-00014.24,-00003.48,-00004.73, 00000.00, 00000.00, 00000.00, 00033.49,99472.86,14.43,0.98
365123  00195.31,-00657.23, 00706.79,-00002.56, 00002.62, 00001.14, 00000.00, 00000.00, 00000.00, 00033.78,99513.12,14.43,0.98
365441  00205.32,-00664.31, 00713.62, 00001.91, 00002.24,-00003.40, 00000.00, 00000.00, 00000.00, 00033.88,99511.27,14.44,0.98
365755  00173.10,-00692.14, 00751.22, 00003.03, 00002.68,-00001.21, 00000.00, 00000.00, 00000.00, 00033.59,99518.07,14.43,0.98
366069  00126.46,-00662.11, 00684.08,-00004.34, 00002.98, 00008.96, 00000.00, 00000.00, 00000.00, 00033.88,99494.96,14.43,0.98
366383  00134.52,-00708.98, 00754.88, 00009.27,-00000.13,-00001.69, 00000.00, 00000.00, 00000.00, 00033.83,99481.84,14.43,0.98
366708  00192.14,-00603.76, 00802.00, 00072.57,-00014.42,-00013.89, 00000.00, 00000.00, 00000.00, 00033.64,99484.27,14.43,0.98
367022  00233.89, 00056.15, 00892.82, 00064.53,-00005.27,-00014.02, 00000.00, 00000.00, 00000.00, 00033.68,99513.02,14.43,0.98
367336  00246.34, 00062.01, 00989.75,-00003.98, 00008.02,-00008.06, 00000.00, 00000.00, 00000.00, 00033.78,99506.90,14.43,0.98
367650  00230.71, 00017.58, 00971.19,-00009.26,-00003.06, 00000.70, 00000.00, 00000.00, 00000.00, 00033.68,99478.71,14.43,0.98
367968  00194.09,-00008.06, 00928.71,-00004.29, 00000.98,-00000.07, 00000.00, 00000.00, 00000.00, 00033.64,99497.23,14.43,0.98
368282  00224.37,-00006.59, 00955.81,-00000.92, 00001.39,-00002.05, 00000.00, 00000.00, 00000.00, 00033.68,99502.73,14.43,0.98
368597  00172.36,-00087.40, 01032.23,-00046.83, 00009.45, 00007.11, 00000.00, 00000.00, 00000.00, 00033.59,99525.80,14.43,0.98
368911  00071.53,-00406.49, 00835.21,-00099.89,-00002.52, 00009.51, 00000.00, 00000.00, 00000.00, 00033.83,99510.51,14.43,0.98
