Test4.txt File Created
IMU Output: Scaled
Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
478738  00161.87,-00626.95, 00840.82,-00042.18,-00005.34,-00014.89, 00000.00, 00000.00, 00000.00, 00033.78,99518.84,14.43,0.98
479052  00155.27,-00500.24, 00806.15, 00006.38, 00006.74, 00001.53, 00000.00, 00000.00, 00000.00, 00033.59,100034.48,14.52,0.99
479370  00119.87,-00509.03, 00824.71,-00006.53, 00006.68,-00008.99, 00000.00, 00000.00, 00000.00, 00033.78,100908.41,14.63,1.00
479684  00134.28,-00541.99, 00815.92, 00007.53, 00002.97, 00001.49, 00000.00, 00000.00, 00000.00, 00033.64,99501.66,14.43,0.98
479998  00134.28,-00542.97, 00836.67, 00010.65,-00002.24,-00000.05, 00000.00, 00000.00, 00000.00, 00033.59,100463.18,14.58,0.99
480312  00116.21,-00499.27, 00833.74, 00002.08, 00006.11,-00003.69, 00000.00, 00000.00, 00000.00, 00033.64,100207.45,14.52,0.99
480630  00081.79,-00523.19, 00852.05,-00002.93, 00004.33,-00003.82, 00000.00, 00000.00, 00000.00, 00033.35,99499.25,14.43,0.98
480943  00102.54,-00470.46, 00858.40, 00003.87,-00011.63, 00003.52, 00000.00, 00000.00, 00000.00, 00033.64,100866.05,14.63,1.00
481257  00102.05,-00517.09, 00858.64,-00002.71,-00009.22, 00000.69, 00000.00, 00000.00, 00000.00, 00033.64,99491.83,14.43,0.98
481572  00131.35,-00459.72, 00864.75, 00003.60,-00002.40, 00003.91, 00000.00, 00000.00, 00000.00, 00033.44,100811.91,14.63,1.00
481891  00114.75,-00494.63, 00858.40,-00002.01, 00002.60, 00000.07, 00000.00, 00000.00, 00000.00, 00033.59,100452.53,14.57,0.99
482206  00130.37,-00491.46, 00869.87, 00003.21,-00000.55,-00000.01, 00000.00, 00000.00, 00000.00, 00033.83,100200.55,14.53,0.99
482520  00158.94,-00459.96, 00837.40, 00000.26, 00004.84,-00007.38, 00000.00, 00000.00, 00000.00, 00033.64,99635.64,14.45,0.98
482833  00188.23,-00213.38, 00936.04, 00108.89,-00017.45,-00004.09, 00000.00, 00000.00, 00000.00, 00033.44,99781.27,14.48,0.99
