Test9.txt File Created
IMU Output: Scaled
Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
447320  00049.56,-00044.43, 00972.17,-00010.34,-00013.50, 00014.51, 00000.00, 00000.00, 00000.00, 00034.12,101313.05,14.72,1.00
447634  00086.43,-00083.01, 01050.29, 00002.62,-00026.63,-00017.72, 00000.00, 00000.00, 00000.00, 00034.16,103498.72,15.00,1.02
447948  00254.64,-00001.71, 00915.04,-00006.06, 00013.72,-00007.17, 00000.00, 00000.00, 00000.00, 00034.21,102886.44,14.93,1.02
448262  00023.68,-00239.01, 00995.12,-00016.31, 00005.67,-00009.76, 00000.00, 00000.00, 00000.00, 00034.21,105337.55,15.28,1.04
448580  00098.14,-00208.50, 00910.40,-00027.57, 00013.32,-00036.41, 00000.00, 00000.00, 00000.00, 00034.31,107672.74,15.62,1.06
448894  00026.61,-00275.63, 00968.02,-00032.80,-00000.35,-00029.86, 00000.00, 00000.00, 00000.00, 00033.83,103019.48,14.96,1.02
449208  00032.47,-00283.20, 00960.21,-00007.35, 00011.84,-00001.21, 00000.00, 00000.00, 00000.00, 00034.12,105274.47,15.27,1.04
449526 -00024.41,-00377.93, 00947.75,-00002.97,-00003.47,-00003.48, 00000.00, 00000.00, 00000.00, 00034.31,103509.83,14.99,1.02
449838  00028.32,-00344.97, 00860.11, 00036.20,-00014.89, 00037.95, 00000.00, 00000.00, 00000.00, 00034.31,99453.18,14.43,0.98
450152  00312.74,-00345.21, 00899.90, 00055.31,-00023.91, 00040.88, 00000.00, 00000.00, 00000.00, 00034.16,101860.65,14.79,1.01
450466  00191.65,-00113.04, 00974.37,-00012.63,-00002.66,-00020.56, 00000.00, 00000.00, 00000.00, 00034.02,99507.06,14.43,0.98
450784  00361.33,-00127.44, 00963.38, 00002.60,-00007.41, 00003.66, 00000.00, 00000.00, 00000.00, 00034.16,102474.38,14.87,1.01
451097  00337.40,-00045.90, 00913.09,-00008.93, 00002.83, 00004.88, 00000.00, 00000.00, 00000.00, 00033.83,99503.59,14.43,0.98
451411  00336.91,-00118.90, 00948.00,-00007.53,-00001.18, 00008.87, 00000.00, 00000.00, 00000.00, 00034.12,100434.26,14.57,0.99
451725  00340.82,-00263.67, 00895.26,-00010.37, 00006.19,-00008.34, 00000.00, 00000.00, 00000.00, 00034.02,100223.91,14.58,1.00
452043  00222.90,-00064.94, 00994.38, 00007.95,-00009.24, 00007.68, 00000.00, 00000.00, 00000.00, 00034.21,108948.33,15.79,1.07
452357  00185.30,-00062.01, 00868.16,-00008.74, 00018.28,-00027.69, 00000.00, 00000.00, 00000.00, 00034.16,105673.05,15.31,1.04
452671  00452.88,-00171.14, 00865.72, 00004.79, 00007.21, 00001.62, 00000.00, 00000.00, 00000.00, 00034.16,100251.90,14.53,0.99
452985  00252.20,-00169.68, 00902.34, 00001.30, 00005.05,-00001.91, 00000.00, 00000.00, 00000.00, 00033.88,100637.86,14.60,0.99
453303  00393.80,-00160.16, 00933.11,-00006.66,-00006.98,-00013.12, 00000.00, 00000.00, 00000.00, 00034.21,99480.80,14.43,0.98
453616  00320.80,-00091.55, 00902.34, 00005.60,-00003.82, 00001.41, 00000.00, 00000.00, 00000.00, 00033.88,99486.05,14.43,0.98
453930  00397.71,-00045.65, 00856.69, 00014.11, 00001.21, 00020.70, 00000.00, 00000.00, 00000.00, 00033.97,99588.31,14.45,0.98
454244  00302.49,-00056.40, 00889.40, 00032.05, 00011.47, 00013.95, 00000.00, 00000.00, 00000.00, 00034.12,99716.75,14.46,0.98
454569  00289.06, 00560.55, 00719.97, 00149.15, 00012.98, 00028.23, 00000.00, 00000.00, 00000.00, 00034.12,99495.53,14.43,0.98
454882  00386.47, 00810.30, 00009.03, 00180.44,-00010.42, 00019.19, 00000.00, 00000.00, 00000.00, 00034.21,99508.98,14.44,0.98
455196  00465.82, 00678.71,-00501.22, 00088.26,-00017.40, 00034.61, 00000.00, 00000.00, 00000.00, 00034.21,100325.07,14.57,0.99
455510  00465.82, 00622.80,-00603.52,-00005.71,-00018.18, 00006.34, 00000.00, 00000.00, 00000.00, 00034.21,99507.56,14.43,0.98
455828  00300.78, 00589.11,-00773.19,-00000.98, 00009.09, 00000.09, 00000.00, 00000.00, 00000.00, 00034.02,99510.84,14.43,0.98
456142  00344.24, 00606.20,-00677.49,-00009.42,-00001.43, 00007.89, 00000.00, 00000.00, 00000.00, 00034.21,101135.42,14.67,1.00
456456  00288.09, 00979.49,-00105.47,-00250.14, 00032.82,-00020.37, 00000.00, 00000.00, 00000.00, 00033.97,99746.34,14.49,0.99
456770  00100.59, 00532.23, 00963.38,-00239.54, 00011.46,-00026.03, 00000.00, 00000.00, 00000.00, 00034.02,99511.90,14.43,0.98
457088  00301.27,-00114.50, 00927.73,-00033.08, 00013.61,-00014.76, 00000.00, 00000.00, 00000.00, 00034.31,99538.70,14.44,0.98
457402  00250.73,-00169.92, 00910.40,-00010.13, 00007.24, 00003.98, 00000.00, 00000.00, 00000.00, 00034.21,99516.79,14.43,0.98
457716  00297.85,-00257.32, 00939.70, 00025.20,-00005.37, 00009.50, 00000.00, 00000.00, 00000.00, 00033.97,99499.93,14.43,0.98
458030  00241.94,-00210.94, 00940.67,-00002.39,-00004.09,-00000.42, 00000.00, 00000.00, 00000.00, 00034.02,99511.53,1.43,0.98
458370  00270.26,-00047.36, 00891.11,-00006.82,-00008.38, 00005.80, 00000.00, 00000.00, 00000.00, 00033.97,99526.88,14.43,0.98
458684  00186.28,-00121.34, 00909.42,-00002.97, 00003.81, 00000.56, 00000.00, 00000.00, 00000.00, 00033.97,99510.98,14.43,0.98
458858 Single button click acknowledged, data collection ENDED for file: Test9.txt
