Tst7.txt File Created
IMU Output: Scaled
Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
227259  00250.24, 00041.02, 00983.15,-00002.84,-00002.57,-00002.98, 00000.00, 00000.00, 00000.00, 00033.88,99520.41,14.43,0.98
227573  00215.58, 00081.30, 00914.55, 00004.15, 00042.40,-00001.34, 00000.00, 00000.00, 00000.00, 00034.02,99529.51,14.44,0.98
227887  00140.14, 00112.06, 00915.53, 00046.76, 00012.52, 00021.73, 00000.00, 00000.00, 00000.00, 00033.64,99513.50,14.43,0.98
228201  00253.17, 00484.86, 00846.92, 00043.95,-00006.95, 00025.99, 00000.00, 00000.00, 00000.00, 00033.49,99514.66,14.43,0.98
228519  00219.97, 00455.57, 00939.70,-00031.85, 00004.05,-00006.69, 00000.00, 00000.00, 00000.00, 00033.83,99497.13,14.43,0.98
228833 -00085.21, 00369.63, 01042.72,-00040.07, 00025.11,-00040.53, 00000.00, 00000.00, 00000.00, 00033.78,99470.39,14.43,0.98
229147  00040.53, 00150.88, 00909.18,-00010.73,-00032.44,-00020.65, 00000.00, 00000.00, 00000.00, 00034.12,100714.55,14.61,0.99
229461  00151.12, 00079.35, 00925.78,-00001.89,-00013.28,-00013.67, 00000.00, 00000.00, 00000.00, 00034.02,102871.15,14.92,1.02
229779  00076.17, 00083.50, 00948.73,-00004.74, 00010.02,-00005.66, 00000.00, 00000.00, 00000.00, 00033.68,103085.28,14.95,1.02
230093  00084.47, 00169.92, 00986.82, 00014.52, 00020.82, 00003.85, 00000.00, 00000.00, 00000.00, 00034.02,103564.46,15.02,1.02
230407  00075.20, 00091.80, 00962.89,-00013.38, 00002.78, 00001.65, 00000.00, 00000.00, 00000.00, 00033.78,103760.38,15.05,1.02
230721  00148.19, 00013.92, 00945.07, 00041.32,-00010.98,-00025.13, 00000.00, 00000.00, 00000.00, 00034.02,104401.74,15.14,1.03
231039  00019.53, 00057.86, 01008.79,-00017.18,-00019.87,-00028.44, 00000.00, 00000.00, 00000.00, 00033.49,103820.72,15.05,1.02
231353  00046.14, 00083.25, 01003.91,-00045.99,-00012.08,-00011.44, 00000.00, 00000.00, 00000.00, 00034.02,102814.63,14.91,1.02
231667  00106.93, 00009.77, 00962.65,-00006.99,-00012.71,-00011.48, 00000.00, 00000.00, 00000.00, 00033.59,105442.87,15.28,1.04
231985  00354.00, 00079.10, 00933.84, 00025.82,-00028.70, 00030.30, 00000.00, 00000.00, 00000.00, 00033.64,105962.52,15.37,1.05
232299  00157.23, 00234.13, 00982.42,-00025.34,-00007.40, 00003.60, 00000.00, 00000.00, 00000.00, 00033.97,108910.59,15.81,1.08
232613  00286.87, 00143.31, 00903.56,-00003.58,-00006.44,-00003.22, 00000.00, 00000.00, 00000.00, 00033.83,109711.92,15.91,1.08
232927  00321.29, 00109.13, 00946.04, 00005.89,-00007.35, 00005.41, 00000.00, 00000.00, 00000.00, 00033.88,107402.87,15.55,1.06
