Time, Pa
"Friday,-August-30-2024-19:57:56",99363
"Friday,-August-30-2024-19:57:57",99359
"Friday,-August-30-2024-19:57:58",99369
"Friday,-August-30-2024-19:57:59",99364
"Friday,-August-30-2024-19:57:59",99367
"Friday,-August-30-2024-19:58:00",99371
"Friday,-August-30-2024-19:58:01",99362
"Friday,-August-30-2024-19:58:02",99362
"Friday,-August-30-2024-19:58:02",99371
"Friday,-August-30-2024-19:58:03",99364
"Friday,-August-30-2024-19:58:04",99368
"Friday,-August-30-2024-19:58:05",99360
"Friday,-August-30-2024-19:58:06",99365
"Friday,-August-30-2024-19:58:07",99356
"Friday,-August-30-2024-19:58:07",99364
"Friday,-August-30-2024-19:58:08",99363
"Friday,-August-30-2024-19:58:09",99360
"Friday,-August-30-2024-19:58:10",99368
"Friday,-August-30-2024-19:58:11",99365
"Friday,-August-30-2024-19:58:11",99357
"Friday,-August-30-2024-19:58:12",99360
"Friday,-August-30-2024-19:58:13",99357
"Friday,-August-30-2024-19:58:14",99363
"Friday,-August-30-2024-19:58:15",99368
"Friday,-August-30-2024-19:58:15",99361
"Friday,-August-30-2024-19:58:16",99361
"Friday,-August-30-2024-19:58:17",99368
"Friday,-August-30-2024-19:58:18",99372
"Friday,-August-30-2024-19:58:19",99363
"Friday,-August-30-2024-19:58:20",99370
"Friday,-August-30-2024-19:58:21",99369
"Friday,-August-30-2024-19:58:21",99359
"Friday,-August-30-2024-19:58:22",99365
"Friday,-August-30-2024-19:58:23",99363
"Friday,-August-30-2024-19:58:23",99364
"Friday,-August-30-2024-19:58:24",99365
"Friday,-August-30-2024-19:58:25",99369
"Friday,-August-30-2024-19:58:27",99372
"Friday,-August-30-2024-19:58:28",99367
"Friday,-August-30-2024-19:58:28",99358
"Friday,-August-30-2024-19:58:29",99365
"Friday,-August-30-2024-19:58:30",99367
"Friday,-August-30-2024-19:58:31",99363
"Friday,-August-30-2024-19:58:32",99377
"Friday,-August-30-2024-19:58:33",99365
"Friday,-August-30-2024-19:58:34",99371
"Friday,-August-30-2024-19:58:34",99367
"Friday,-August-30-2024-19:58:35",99365
"Friday,-August-30-2024-19:58:36",99363
"Friday,-August-30-2024-19:58:37",99366
"Friday,-August-30-2024-19:58:38",99366
"Friday,-August-30-2024-19:58:38",99364
"Friday,-August-30-2024-19:58:39",99375
"Friday,-August-30-2024-19:58:40",99365
"Friday,-August-30-2024-19:58:41",99358
"Friday,-August-30-2024-19:58:42",99368
"Friday,-August-30-2024-19:58:42",99361
"Friday,-August-30-2024-19:58:43",99376
"Friday,-August-30-2024-19:58:44",99364
"Friday,-August-30-2024-19:58:45",99372
"Friday,-August-30-2024-19:58:46",99361
"Friday,-August-30-2024-19:58:47",99373
"Friday,-August-30-2024-19:58:47",99365
"Friday,-August-30-2024-19:58:48",99356
"Friday,-August-30-2024-19:58:49",99366
"Friday,-August-30-2024-19:58:50",99371
"Friday,-August-30-2024-19:58:51",99370
"Friday,-August-30-2024-19:58:51",99375
"Friday,-August-30-2024-19:58:53",99368
"Friday,-August-30-2024-19:58:53",99367
"Friday,-August-30-2024-19:58:54",99374
"Friday,-August-30-2024-19:58:55",99360
"Friday,-August-30-2024-19:58:56",99364
"Friday,-August-30-2024-19:58:57",99361
"Friday,-August-30-2024-19:58:57",99369
"Friday,-August-30-2024-19:58:58",99371
"Friday,-August-30-2024-19:58:59",99367
"Friday,-August-30-2024-19:59:00",99362
"Friday,-August-30-2024-19:59:01",99367
"Friday,-August-30-2024-19:59:02",99372
"Friday,-August-30-2024-19:59:02",99368
"Friday,-August-30-2024-19:59:03",99366
"Friday,-August-30-2024-19:59:04",99364
"Friday,-August-30-2024-19:59:05",99364
"Friday,-August-30-2024-19:59:06",99363
"Friday,-August-30-2024-19:59:07",99363
"Friday,-August-30-2024-19:59:07",99369
"Friday,-August-30-2024-19:59:08",99361
"Friday,-August-30-2024-19:59:09",99356
"Friday,-August-30-2024-19:59:10",99361
"Friday,-August-30-2024-19:59:11",99354
"Friday,-August-30-2024-19:59:12",99367
"Friday,-August-30-2024-19:59:12",99363
"Friday,-August-30-2024-19:59:13",99362
"Friday,-August-30-2024-19:59:14",99363
"Friday,-August-30-2024-19:59:15",99361
"Friday,-August-30-2024-19:59:16",99348
"Friday,-August-30-2024-19:59:17",99355
"Friday,-August-30-2024-19:59:17",99369
"Friday,-August-30-2024-19:59:18",99365
"Friday,-August-30-2024-19:59:19",99369
"Friday,-August-30-2024-19:59:20",99371
"Friday,-August-30-2024-19:59:21",99365
"Friday,-August-30-2024-19:59:22",99359
"Friday,-August-30-2024-19:59:22",99367
"Friday,-August-30-2024-19:59:23",99361
"Friday,-August-30-2024-19:59:24",99359
"Friday,-August-30-2024-19:59:25",99366
"Friday,-August-30-2024-19:59:26",99352
"Friday,-August-30-2024-19:59:27",99358
"Friday,-August-30-2024-19:59:27",99358
"Friday,-August-30-2024-19:59:28",99357
"Friday,-August-30-2024-19:59:29",99355
"Friday,-August-30-2024-19:59:30",99355
"Friday,-August-30-2024-19:59:31",99361
"Friday,-August-30-2024-19:59:32",99366
"Friday,-August-30-2024-19:59:33",99363
"Friday,-August-30-2024-19:59:34",99368
"Friday,-August-30-2024-19:59:35",99367
"Friday,-August-30-2024-19:59:36",99360
"Friday,-August-30-2024-19:59:38",99374
"Friday,-August-30-2024-19:59:38",99363
"Friday,-August-30-2024-19:59:39",99359
"Friday,-August-30-2024-19:59:40",99371
