Time,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Temp,Pa,PSI,atm
97392, -00187.01,-00817.87,566.89,-5.29,2.11,-7.01,-55.95,-21.3,31.05,33.83,98658.61,14.31,0.97
97709, -00125.98,-00871.09,554.69,9.24,3.11,2.06,-56.25,-22.5,31.5,33.78,98649.13,14.31,0.97
98023, -00222.66,-00501.46,885.25,73.8,-6.47,-3.44,-53.55,-8.55,44.7,33.78,98664.55,14.31,0.97
98337, -00169.43,-00234.86,1000.49,24.0,-21.92,-1.13,-55.65,7.5,47.4,33.88,98666.71,14.31,0.97
98651, -00152.83,-00195.80,971.19,2.81,-9.08,-12.73,-55.95,13.2,48.45,33.59,98659.7,14.31,0.97
98969, -00120.61,-00138.18,1007.81,-12.79,10.21,-11.11,-56.1,13.8,48.3,33.64,98661.9,14.31,0.97
99283, -00175.29,-00184.08,960.94,-11.73,-22.99,0.62,-56.25,10.5,47.7,33.68,98665.58,14.31,0.97
99597, -00039.55,-00311.04,922.36,-79.76,-15.96,0.72,-59.1,5.55,44.85,33.88,98651.19,14.31,0.97
99911, -00077.15,-00809.08,714.84,-46.78,7.79,12.33,-60.9,-16.5,33.75,33.88,98653.59,14.31,0.97
100229, -00057.62,-00765.14,618.65,-22.28,4.07,11.29,-58.2,-21.3,29.55,34.02,98659.89,14.31,0.97
100544, -00110.35,-00825.20,684.08,40.42,2.81,-9.92,-59.85,-19.8,32.4,33.83,98659.66,14.31,0.97
100858, -00086.91,-00628.42,727.54,49.27,-23.74,-25.18,-61.65,-9.75,36.75,33.97,98666.2,14.31,0.97
101172, -00052.73,-00408.69,907.23,18.56,7.1,1.66,-61.65,-0.15,41.55,33.78,98659.99,14.31,0.97
101490,  00000.98,-00453.12,951.66,-13.39,-0.73,1.11,-58.95,1.35,44.7,33.68,98660.28,14.31,0.97
101804,  00054.20,-00369.63,950.68,-6.53,6.04,1.4,-61.2,4.95,43.5,34.12,98643.86,14.31,0.97
102118,  00190.92,-00371.09,819.82,-4.64,-24.21,-26.05,-66.0,7.95,40.35,33.64,98637.19,14.31,0.97
102432,  00134.77,-00238.28,907.71,4.98,29.14,29.92,-65.85,4.5,39.0,33.68,98661.61,14.31,0.97
102750,  00042.48,-00778.81,870.61,-45.13,-8.09,40.31,-61.8,-11.55,36.9,33.83,98667.59,14.31,0.97
103064,  00021.97,-00938.96,463.38,4.82,-59.81,-27.82,-65.4,-20.1,22.35,33.78,98640.27,14.31,0.97
103378,  00038.57,-00647.95,675.29,4.46,-5.08,-42.34,-65.25,-11.1,31.2,33.44,99230.52,14.4,0.98
103692,  00350.59,-00375.00,1055.66,3.23,17.13,-44.88,-61.95,0.45,39.75,33.83,99802.56,14.48,0.99
104010,  00022.46,-00487.30,858.89,0.58,-8.27,-13.78,-60.45,3.3,40.05,33.49,99882.59,14.49,0.99
104324,  00250.98,-00492.19,859.86,-3.02,-13.19,-20.75,-60.9,7.65,41.25,33.49,99532.2,14.44,0.98
